course_id,short_name,long_name,account_id,term_id,status
202108/80002,AE-2220-A,Dynamics - AE-2220-A,E,202108,active
202108/80009,ME-2202-A,Dynamics of Rigid Bodies - ME-2202-A,E,202108,active
202108/80990,ECE-3741-L14,Instrum & Electronic Lab - ECE-3741-L14,E,202108,active
202108/80219,CS-2200-A,Systems and Networks - CS-2200-A,C,202108,active
202108/80308,CHIN-1001-A,Elementary Chinese I - CHIN-1001-A,I,202108,active
202108/80311,SOC-1101-A,Intro to Sociology - SOC-1101-A,I,202108,active
202108/80315,JAPN-1001-A,Elementary Japanese I - JAPN-1001-A,I,202108,active
202108/80318,CHEM-3111-A,Inorganic Chemistry - CHEM-3111-A,S,202108,active
202108/80319,CHEM-3411-A,Physical Chemistry I - CHEM-3411-A,S,202108,active
202108/80393,ARCH-2111-ARC,History of Arch I - ARCH-2111-ARC,A,202108,active
202108/80421,EAS-2750-A,Physics of the Weather - EAS-2750-A,S,202108,active
202108/80637,CP-4510-C,Geographic Info Sys - CP-4510-C,A,202108,active
202108/80638,CP-4610-C,Intro-Real Estate Invest - CP-4610-C,A,202108,active
202108/80702,MOT-6106-A,Technological Innovation - MOT-6106-A,M,202108,active
202108/80745,ACCT-2101-A,Accounting I - ACCT-2101-A,M,202108,active
202108/80746,ACCT-2102-B,Accounting II - ACCT-2102-B,M,202108,active
202108/81541,GT-1000-B17,GT Freshman Seminar - GT-1000-B17,R/GT1K,202108,active
202108/81542,GT-1000-B11,GT Freshman Seminar - GT-1000-B11,R/GT1K,202108,active
202108/81543,GT-1000-C15,GT Freshman Seminar - GT-1000-C15,R/GT1K,202108,active
202108/81002,CS-2200-GR,Systems and Networks - CS-2200-GR,C,202108,active
202108/81049,CS-6235-A,Real-Time Systems - CS-6235-A,C,202108,active
202108/88125,ECE-6558-QSZ,Stochastic Systems - ECE-6558-QSZ,D/SH,202108,active
202108/88287,ECE-6122-QSZ,Adv Prog Techniques - ECE-6122-QSZ,D/SH,202108,active
202108/88288,ECE-6258-QSZ,Digital Image Processing - ECE-6258-QSZ,D/SH,202108,active
202108/82591,AE-6353-Q,Orbital Mechanics - AE-6353-Q,D/OP,202108,active
202108/82638,AE-6009-Q,Viscous Fluid Flow - AE-6009-Q,D/OP,202108,active
202108/82640,AE-6343-Q,Aircraft Design I - AE-6343-Q,D/OP,202108,active
202108/86536,CETL-2000-CH1,Undergraduate  TA  Prep - CETL-2000-CH1,R,202108,active
202108/82073,CETL-2000-MAT,Undergraduate  TA  Prep - CETL-2000-MAT,R,202108,active
202108/83911,UCGA-1009-A4,Cross Enroll-Emory Univ - UCGA-1009-A4,R,202108,active
