user_id,section_id,role,status
842329265,202108/80393,teacher,active
842329265,202108/80637,teacher,active
842329265,202108/80638,teacher,active
864686872,202108/80219,teacher,active
864686872,202108/81002,teacher,active
864686872,202108/81049,teacher,active
803883290,202108/82591,teacher,active
803883290,202108/82638,teacher,active
803883290,202108/82640,teacher,active
862573127,202108/88125,teacher,active
862573127,202108/88287,teacher,active
862573127,202108/88288,teacher,active
874760053,202108/80002,teacher,active
874760053,202108/80009,teacher,active
874760053,202108/80990,teacher,active
853925723,202108/80308,teacher,active
853925723,202108/80311,teacher,active
853925723,202108/80315,teacher,active
801175746,202108/80702,teacher,active
801175746,202108/80745,teacher,active
801175746,202108/80746,teacher,active
844085282,202108/86536,teacher,active
844085282,202108/82073,teacher,active
844085282,202108/83911,teacher,active
898940549,202108/81541,teacher,active
898940549,202108/81542,teacher,active
898940549,202108/81543,teacher,active
895333366,202108/80318,teacher,active
895333366,202108/80319,teacher,active
895333366,202108/80421,teacher,active
802960233,202108/86536,student,active
833927659,202108/80637,student,active
820924909,202108/80311,student,active
816356273,202108/80990,student,active
855955492,202108/82073,student,active
856769838,202108/81049,student,active
888352123,202108/81543,student,active
883541818,202108/80990,student,active
892230379,202108/80318,student,active
858385966,202108/80315,student,active
801878127,202108/83911,student,active
853682849,202108/83911,student,active
810128876,202108/86536,student,active
832362372,202108/80219,student,active
869702534,202108/81542,student,active
844783256,202108/80421,student,active
869702534,202108/81049,student,active
897136853,202108/80746,student,active
886572276,202108/88287,student,active
848368475,202108/80637,student,active
830993849,202108/80393,student,active
847239115,202108/81049,student,active
891328493,202108/82638,student,active
806995033,202108/88288,student,active
804091278,202108/81002,student,active
895632695,202108/82638,student,active
883541818,202108/80311,student,active
805985451,202108/88287,student,active
847318341,202108/81543,student,active
880027131,202108/81541,student,active
885877135,202108/80002,student,active
807470419,202108/80702,student,active
852368195,202108/80746,student,active
898638880,202108/80637,student,active
872355975,202108/80002,student,active
828483628,202108/80637,student,active
804120236,202108/82591,student,active
832500104,202108/82638,student,active
854181360,202108/83911,student,active
831804493,202108/80421,student,active
876762185,202108/82638,student,active
828939647,202108/88125,student,active
871211993,202108/80315,student,active
874468857,202108/86536,student,active
800689949,202108/80009,student,active
897136853,202108/80745,student,active
832013926,202108/82073,student,active
816356273,202108/80702,student,active
855955492,202108/80311,student,active
813744339,202108/88287,student,active
867752215,202108/80637,student,active
865410033,202108/80219,student,active
814898008,202108/80315,student,active
849464193,202108/82638,student,active
849464193,202108/80393,student,active
889499619,202108/80315,student,active
809486738,202108/80319,student,active
840576020,202108/80637,student,active
875773342,202108/80315,student,active
838308708,202108/80315,student,active
867752215,202108/86536,student,active
810057895,202108/80393,student,active
879695599,202108/81049,student,active
847530123,202108/82073,student,active
888352123,202108/81049,student,active
807067633,202108/80746,student,active
847530123,202108/83911,student,active
838416473,202108/80219,student,active
849464193,202108/82638,student,active
873591393,202108/81543,student,active
809486738,202108/80746,student,active
801662227,202108/88287,student,active
860131320,202108/80637,student,active
860016029,202108/80219,student,active
847073575,202108/81543,student,active
807470419,202108/80318,student,active
869702534,202108/81541,student,active
893556748,202108/82591,student,active
824272159,202108/80990,student,active
848534538,202108/80638,student,active
892552950,202108/80311,student,active
813170684,202108/80990,student,active
869897362,202108/81002,student,active
898829603,202108/80421,student,active
888352123,202108/80393,student,active
886374733,202108/80311,student,active
886572276,202108/80311,student,active
817869222,202108/80318,student,active
817471850,202108/88288,student,active
872702408,202108/82640,student,active
847318341,202108/80393,student,active
802862961,202108/80746,student,active
813744339,202108/80308,student,active
813744339,202108/81542,student,active
869702534,202108/80219,student,active
892002335,202108/88288,student,active
886374733,202108/88287,student,active
844720931,202108/82073,student,active
886572276,202108/88125,student,active
832287154,202108/81542,student,active
826321803,202108/80746,student,active
872355975,202108/81542,student,active
856150586,202108/80638,student,active
880985336,202108/82638,student,active
847239115,202108/81002,student,active
861353426,202108/88125,student,active
880985336,202108/80745,student,active
865410033,202108/81002,student,active
810923033,202108/80702,student,active
880985336,202108/80319,student,active
884366615,202108/81541,student,active
881255943,202108/83911,student,active
872702408,202108/81542,student,active
873630520,202108/80746,student,active
867903363,202108/80308,student,active
813145794,202108/81002,student,active
820924909,202108/81002,student,active
886572276,202108/80311,student,active
891341183,202108/88287,student,active
860016029,202108/88287,student,active
873591393,202108/80638,student,active
802862961,202108/80315,student,active
897136853,202108/80219,student,active
883541818,202108/88287,student,active
875762126,202108/88288,student,active
847530123,202108/80308,student,active
815720095,202108/88125,student,active
888004388,202108/80745,student,active
810057895,202108/80009,student,active
810923033,202108/80746,student,active
844888572,202108/82591,student,active
838416473,202108/80745,student,active
833927659,202108/82073,student,active
864689767,202108/82640,student,active
841076402,202108/80009,student,active
846034112,202108/80319,student,active
855807115,202108/82638,student,active
830454418,202108/81541,student,active
838416473,202108/81049,student,active
800689949,202108/81543,student,active
826491150,202108/81002,student,active
838308708,202108/88125,student,active
832262053,202108/81541,student,active
832362372,202108/80637,student,active
878903601,202108/83911,student,active
810128876,202108/80637,student,active
847318341,202108/81542,student,active
869897362,202108/80009,student,active
832362372,202108/82591,student,active
801878127,202108/80311,student,active
880985336,202108/82640,student,active
823732562,202108/80311,student,active
879695599,202108/80315,student,active
813145794,202108/80315,student,active
839970457,202108/80319,student,active
869702534,202108/80315,student,active
880985336,202108/81541,student,active
814927727,202108/80637,student,active
862558421,202108/81049,student,active
815328296,202108/82640,student,active
851999318,202108/80311,student,active
872933827,202108/88288,student,active
880985336,202108/80702,student,active
871211993,202108/80319,student,active
869702534,202108/81049,student,active
871211993,202108/80746,student,active
804120236,202108/82640,student,active
888352123,202108/81542,student,active
819337081,202108/88288,student,active
822151402,202108/80637,student,active
849732592,202108/80702,student,active
848782346,202108/82640,student,active
818087430,202108/82073,student,active
884789334,202108/80638,student,active
838416473,202108/80315,student,active
810057895,202108/88125,student,active
861353426,202108/80319,student,active
893556748,202108/80746,student,active
836941336,202108/88288,student,active
820924909,202108/81049,student,active
874468857,202108/88287,student,active
805985451,202108/80393,student,active
884213853,202108/81049,student,active
826877377,202108/80002,student,active
813744339,202108/83911,student,active
880985336,202108/80746,student,active
815670792,202108/80746,student,active
828483628,202108/81541,student,active
891341183,202108/81002,student,active
813145794,202108/80308,student,active
843855313,202108/80315,student,active
872355975,202108/80745,student,active
852368195,202108/88125,student,active
858948468,202108/80009,student,active
822151402,202108/80638,student,active
851999318,202108/80002,student,active
841076402,202108/88288,student,active
820924909,202108/82640,student,active
815328296,202108/80315,student,active
895815872,202108/80637,student,active
850032580,202108/80002,student,active
895632695,202108/80315,student,active
839970457,202108/80318,student,active
843855313,202108/80009,student,active
801662227,202108/80393,student,active
880985336,202108/80990,student,active
877065438,202108/80002,student,active
871926716,202108/80315,student,active
848368475,202108/80308,student,active
807067633,202108/81543,student,active
871211993,202108/81541,student,active
872355975,202108/80421,student,active
811363820,202108/86536,student,active
847073575,202108/80311,student,active
830993849,202108/86536,student,active
860061066,202108/80315,student,active
814927727,202108/80421,student,active
802862961,202108/86536,student,active
822151402,202108/82591,student,active
829276661,202108/82073,student,active
832262053,202108/82640,student,active
844888572,202108/81542,student,active
884789334,202108/80009,student,active
876756281,202108/80311,student,active
847073575,202108/80318,student,active
886374733,202108/83911,student,active
893556748,202108/80421,student,active
888814558,202108/82591,student,active
858948468,202108/80311,student,active
860016029,202108/82640,student,active
817869222,202108/80219,student,active
824272159,202108/80318,student,active
848494813,202108/81543,student,active
867903363,202108/80637,student,active
804091278,202108/80990,student,active
835072682,202108/88288,student,active
848782346,202108/81543,student,active
832013926,202108/80746,student,active
820924909,202108/82591,student,active
826590146,202108/88287,student,active
810128876,202108/82591,student,active
847530123,202108/88288,student,active
809486738,202108/82073,student,active
830507009,202108/81542,student,active
815670792,202108/80009,student,active
818960340,202108/80421,student,active
868831417,202108/81542,student,active
847318341,202108/83911,student,active
848534538,202108/80315,student,active
848606751,202108/81542,student,active
807470419,202108/88288,student,active
834275566,202108/80421,student,active
804091278,202108/81049,student,active
811594656,202108/83911,student,active
806995033,202108/88125,student,active
830454418,202108/82640,student,active
815720095,202108/80393,student,active
801662227,202108/80702,student,active
846034112,202108/80637,student,active
850705340,202108/82640,student,active
804120236,202108/80319,student,active
877192294,202108/82591,student,active
895632695,202108/80319,student,active
844888572,202108/81049,student,active
856769838,202108/80990,student,active
813170684,202108/81542,student,active
832500104,202108/80637,student,active
847073575,202108/80002,student,active
804120236,202108/80393,student,active
867752215,202108/80702,student,active
877192294,202108/81543,student,active
811686438,202108/82073,student,active
807067633,202108/82640,student,active
802862961,202108/80746,student,active
895919509,202108/80311,student,active
871926716,202108/81002,student,active
875762126,202108/82638,student,active
872933827,202108/81049,student,active
847239115,202108/83911,student,active
847073575,202108/88287,student,active
871211993,202108/80393,student,active
847073575,202108/80638,student,active
834971236,202108/81542,student,active
802862961,202108/82638,student,active
880985336,202108/80393,student,active
850032580,202108/81049,student,active
898829603,202108/80393,student,active
801603605,202108/80318,student,active
844783256,202108/80745,student,active
830178858,202108/82640,student,active
856150586,202108/81542,student,active
864744478,202108/88287,student,active
898037448,202108/80745,student,active
838416473,202108/80319,student,active
832500104,202108/81049,student,active
875773342,202108/88125,student,active
858385966,202108/82640,student,active
806995033,202108/88287,student,active
892230379,202108/82591,student,active
850032580,202108/82638,student,active
846034112,202108/80308,student,active
805966763,202108/80311,student,active
896167348,202108/81541,student,active
892552950,202108/81002,student,active
893556748,202108/80219,student,active
815328296,202108/82591,student,active
848534538,202108/80319,student,active
875773342,202108/80393,student,active
823732562,202108/80746,student,active
828939647,202108/80219,student,active
873768956,202108/86536,student,active
862473867,202108/82638,student,active
815328296,202108/82640,student,active
860089591,202108/86536,student,active
805985451,202108/80746,student,active
848494813,202108/80746,student,active
881255943,202108/86536,student,active
810923033,202108/88125,student,active
848325971,202108/80746,student,active
897136853,202108/80990,student,active
897296729,202108/82640,student,active
847641596,202108/80745,student,active
839086910,202108/88288,student,active
832500104,202108/82073,student,active
872702408,202108/81002,student,active
837854126,202108/88288,student,active
880027131,202108/80009,student,active
805966763,202108/80745,student,active
802862961,202108/80219,student,active
898829603,202108/82638,student,active
818087430,202108/80990,student,active
804091278,202108/80315,student,active
846034112,202108/82591,student,active
875773342,202108/82638,student,active
844783256,202108/80745,student,active
815328296,202108/80219,student,active
814898008,202108/81002,student,active
889137431,202108/80002,student,active
818960340,202108/80219,student,active
872702408,202108/80219,student,active
876756281,202108/80002,student,active
840576020,202108/88288,student,active
801603605,202108/81543,student,active
896865189,202108/81049,student,active
834971236,202108/80990,student,active
802960233,202108/82640,student,active
884366615,202108/80315,student,active
813261305,202108/80308,student,active
892552950,202108/88125,student,active
871926716,202108/80746,student,active
874586898,202108/80315,student,active
892552950,202108/80318,student,active
805966763,202108/80319,student,active
853682849,202108/80311,student,active
869897362,202108/80745,student,active
822151402,202108/80393,student,active
826491150,202108/80638,student,active
875347880,202108/81049,student,active
826491150,202108/80219,student,active
849464193,202108/82640,student,active
811594656,202108/81541,student,active
884366615,202108/80319,student,active
889137431,202108/81541,student,active
830507009,202108/82640,student,active
824272159,202108/80990,student,active
890114584,202108/82073,student,active
832362372,202108/81543,student,active
848782346,202108/82640,student,active
850032580,202108/80393,student,active
883541818,202108/82073,student,active
860016029,202108/81543,student,active
828609764,202108/80702,student,active
854181360,202108/80421,student,active
833927659,202108/81002,student,active
807067633,202108/81049,student,active
892002335,202108/80745,student,active
