section_id,course_id,name,status
202108/80002,202108/80002,202108/AE/2220/A/80002,active
202108/80009,202108/80009,202108/ME/2202/A/80009,active
202108/80990,202108/80990,202108/ECE/3741/L14/80990,active
202108/80219,202108/80219,202108/CS/2200/A/80219,active
202108/80308,202108/80308,202108/CHIN/1001/A/80308,active
202108/80311,202108/80311,202108/SOC/1101/A/80311,active
202108/80315,202108/80315,202108/JAPN/1001/A/80315,active
202108/80318,202108/80318,202108/CHEM/3111/A/80318,active
202108/80319,202108/80319,202108/CHEM/3411/A/80319,active
202108/80393,202108/80393,202108/ARCH/2111/ARC/80393,active
202108/80421,202108/80421,202108/EAS/2750/A/80421,active
202108/80637,202108/80637,202108/CP/4510/C/80637,active
202108/80638,202108/80638,202108/CP/4610/C/80638,active
202108/80702,202108/80702,202108/MOT/6106/A/80702,active
202108/80745,202108/80745,202108/ACCT/2101/A/80745,active
202108/80746,202108/80746,202108/ACCT/2102/B/80746,active
202108/81541,202108/81541,202108/GT/1000/B17/81541,active
202108/81542,202108/81542,202108/GT/1000/B11/81542,active
202108/81543,202108/81543,202108/GT/1000/C15/81543,active
202108/81002,202108/81002,202108/CS/2200/GR/81002,active
202108/81049,202108/81049,202108/CS/6235/A/81049,active
202108/88125,202108/88125,202108/ECE/6558/QSZ/88125,active
202108/88287,202108/88287,202108/ECE/6122/QSZ/88287,active
202108/88288,202108/88288,202108/ECE/6258/QSZ/88288,active
202108/82591,202108/82591,202108/AE/6353/Q/82591,active
202108/82638,202108/82638,202108/AE/6009/Q/82638,active
202108/82640,202108/82640,202108/AE/6343/Q/82640,active
202108/86536,202108/86536,202108/CETL/2000/CH1/86536,active
202108/82073,202108/82073,202108/CETL/2000/MAT/82073,active
202108/83911,202108/83911,202108/UCGA/1009/A4/83911,active
